from,to,distance_m,line
in out path_pt0,in out path_pt1,8.229606024464404,in out path
in out path_pt1,in out path_pt2,163.1233288490347,in out path
in out path_pt2,in out path_pt3,42.55972314027881,in out path
in out path_pt3,in out path_pt4,27.89056745156219,in out path
in out path_pt4,in out path_pt5,36.74230772656364,in out path
in out path_pt5,in out path_pt6,37.63406366750633,in out path
in out path_pt6,in out path_pt7,38.09049705302171,in out path
in out path_pt7,in out path_pt8,53.812182028821454,in out path
in out path_pt8,in out path_pt9,46.09107907233419,in out path
in out path_pt9,in out path_pt10,43.43625613870538,in out path
in out path_pt10,in out path_pt11,52.308254265906406,in out path
in out path_pt11,in out path_pt12,14.737495679694131,in out path
in out path_pt12,in out path_pt13,23.69275982140928,in out path
in out path_pt13,in out path_pt14,30.737073958121865,in out path
in out path_pt14,in out path_pt15,18.596023833122807,in out path
in out path_pt15,in out path_pt16,152.4847408941097,in out path
in out path_pt16,in out path_pt17,96.47918864495247,in out path
in out path_pt17,in out path_pt18,55.65319146868169,in out path
in out path_pt18,in out path_pt19,24.680283823257284,in out path
in out path_pt19,in out path_pt20,19.77650113633038,in out path
in out path_pt20,in out path_pt21,35.517229693464955,in out path
in out path_pt21,in out path_pt22,9.51131909785504,in out path
in out path_pt22,in out path_pt23,20.17491088766464,in out path
in out path_pt23,in out path_pt24,11.39658547008132,in out path
in out path_pt24,in out path_pt25,30.028453715107485,in out path
in out path_pt25,in out path_pt26,114.92512557865996,in out path
in out path_pt26,in out path_pt27,38.51349426472572,in out path
in out path_pt27,in out path_pt28,97.78258196648227,in out path
in out path_pt28,in out path_pt29,79.42085889241923,in out path
in out path_pt29,in out path_pt30,47.5830737346905,in out path
in out path_pt30,in out path_pt31,53.335057147547566,in out path
in out path_pt31,in out path_pt32,57.187110995715344,in out path
in out path_pt32,in out path_pt33,62.65979515745057,in out path
in out path_pt33,in out path_pt34,60.12462066811436,in out path
in out path_pt34,in out path_pt35,76.41304076460165,in out path
in out path_pt35,in out path_pt36,55.64426461596016,in out path
in out path_pt36,in out path_pt37,46.48183151402296,in out path
in out path_pt37,in out path_pt38,84.12879126539023,in out path
in out path_pt38,in out path_pt39,130.69681313340456,in out path
block a path_pt0,block a path_pt1,95.71457524245035,block a path
block a path_pt1,block a path_pt2,27.38240105280531,block a path
block a path_pt2,block a path_pt3,38.26783438517961,block a path
block a path_pt3,block a path_pt4,98.94388097731294,block a path
block b path_pt0,block b path_pt1,105.14884521788002,block b path
block b path_pt1,block b path_pt2,29.071719956174977,block b path
block b path_pt2,block b path_pt3,35.01135303007585,block b path
